Id,Label,Category,sigmai
1,A-B,Labour Intensive,.0427250296805721
2,C10-C12,Labour Intensive,.1024729039228039
3,C13-C15,Labour Intensive,.1057526614134287
4,C16,Labour Intensive,.1387765236760185
5,C17,Capital Intensive,.108817157960129
6,C18,Labour Intensive,.0779526170951571
7,C19,Capital Intensive,.7521538763791576
8,C20,Capital Intensive,.1929798026915921
9,C21,Capital Intensive,.1226271863927755
10,C22,Capital Intensive,.1435715722101362
11,C23,Capital Intensive,.191408777477626
12,C24,Capital Intensive,.2923564119753833
13,C25,Labour Intensive,.1629183321201066
14,C26,Capital Intensive,.2291213114375179
15,C27,Labour Intensive,.1543703782773815
16,C28,Capital Intensive,.1398460152829799
17,C29,Capital Intensive,.1239319765140851
18,C30,Capital Intensive,.1565975668844147
19,C31-C32,Labour Intensive,.1142827200247066
20,C33,Labour Intensive,.0014209422396792
21,D35,Capital Intensive,.3511957322757153
22,E36-E39,Capital Intensive,.0825571100918487
23,F,Labour Intensive,.1310707356673935
24,G45,Labour Intensive,.0376024617050265
25,G46,Labour Intensive,.0372911531512324
26,G47,Labour Intensive,.0392164818619385
27,H49,Capital Intensive,.060896191217596
28,H50,Capital Intensive,.1361593456653562
29,H51,Capital Intensive,.1231976570477345
30,H52,Capital Intensive,.0517593073507674
31,H53,Capital Intensive,.0717016381669431
32,I,Labour Intensive,.030801512458215
33,J58,Labour Intensive,.0547167163232272
34,J59-J60,Capital Intensive,.026238314317118
35,J61,Capital Intensive,.0727501863051925
36,J62-J63,Labour Intensive,.1490594674003701
37,K65-K66,Labour Intensive,.0656081125725073
38,L68,Capital Intensive,.0063396664092731
39,M69-M71,Labour Intensive,.0436858976852756
40,M72,Labour Intensive,.070821347018737
41,M73,Labour Intensive,.0064768572303547
42,M74-M75,Labour Intensive,.0347340394884663
43,N,Capital Intensive,.0211275910972729
44,O84,Capital Intensive,.0181537376453372
45,P85,Labour Intensive,.0292936899890497
46,Q,Labour Intensive,.0499573225735831
47,R-S,Labour Intensive,.0381646239150561
48,T,Labour Intensive,.0014209422396792
